0.23455,-0.53781,-1.8914,0.94572,-1.7
0.23455,-0.71234,-1.8914,0.94572,-1.7
0.26662,-0.69247,-1.9312,0.96559,-1.7
0.31505,-0.66208,-1.992,0.99599,-1.7
0.36433,-0.64181,-2.0325,1.0163,-1.7
0.40799,-0.63549,-2.0451,1.0226,-1.7
0.45438,-0.63371,-2.0487,1.0244,-1.7
0.49461,-0.64411,-2.0279,1.014,-1.7
0.52978,-0.66511,-1.9859,0.99295,-1.7
0.5547,-0.69521,-1.9257,0.96286,-1.7
0.56646,-0.75899,-1.7981,0.89907,-1.7
0.55113,-0.80465,-1.7068,0.85341,-1.7
0.52602,-0.83562,-1.6449,0.82245,-1.7
0.49709,-0.85076,-1.6146,0.8073,-1.7
0.50054,-0.90485,-1.5064,0.75321,-1.7
0.49465,-0.96486,-1.3864,0.6932,-1.7
0.47782,-1.0103,-1.2955,0.64775,-1.7
0.43873,-1.0397,-1.2368,0.61841,-1.7
0.40807,-1.0294,-1.2574,0.6287,-1.7
0.37894,-1.0021,-1.3119,0.65597,-1.7
0.35219,-0.96532,-1.3855,0.69275,-1.7
0.32794,-0.92391,-1.4683,0.73416,-1.7
0.30517,-0.87849,-1.5591,0.77957,-1.7
0.28106,-0.82415,-1.6678,0.83392,-1.7
0.25493,-0.76111,-1.7939,0.89696,-1.7
0.23455,-0.71234,-1.8914,0.94572,-1.7
0.23455,-0.53781,-1.8914,0.94572,-1.7
