1.07378,-1.6467,0.12248,0.12783,-1.82032
0.88459,-1.6467,0.13294,0.14828,-1.82032
0.79256,-1.6467,0.06647,0.00511,-1.82032
0.37327,-1.6467,0.08181,0.01534,-1.82032
0.00511,--1.6467,0.08181,0.04091,-1.82032
0.03068,-1.57488,-1.309,0.70563,-1.82032
0.05113,-0.58175,-2.2345,1.79475,-1.82032
1.45728,-0.98175,-2.51572,1.79475,-1.82032
1.11469,-0.89482,-2.51572,1.79475,-1.82032
0.64427,-0.89482,-2.51572,1.79475,-1.82032
0.31702,-0.89482,-2.51572,1.79475,-1.82032
0.05113,-0.89482,-2.51572,1.79475,-1.82032
0.05113,-0.55223,-2.2345,1.79475,-1.82032
